Total_Vehiculos,Tiempo_Medio_s,Ocupacion_Espacial_%,Hora_Inicio,Hora_Fin,Dia_Semana,Direccion,Semaforo_ID
11,1.23,13.57,12:04:37,12:05:10,2,4,2
2,16.92,4.05,12:05:15,12:05:48,2,2,3
11,1.77,6.23,12:05:53,12:06:26,2,1,4
8,1.62,20.24,12:06:31,12:07:04,2,3,1
8,1.68,17.53,12:07:09,12:07:42,2,4,2
4,8.5,9.2,12:07:47,12:08:20,2,2,3
8,1.94,11.19,12:08:25,12:08:58,2,1,4
10,1.7,23.36,12:09:03,12:09:36,2,3,1
6,2.23,11.72,12:09:41,12:10:14,2,4,2
6,2.17,13.63,12:10:19,12:10:52,2,2,3
4,8.19,4.12,12:10:57,12:11:30,2,1,4
7,2.53,14.63,12:11:35,12:12:08,2,3,1
7,1.54,15.68,12:12:13,12:12:46,2,4,2
8,2.6,16.53,12:12:51,12:13:24,2,2,3
6,4.27,6.39,12:13:29,12:14:02,2,1,4
5,2.29,7.55,12:14:07,12:14:40,2,3,1
8,2.76,12.79,12:14:45,12:15:18,2,4,2
6,3.78,10.21,12:15:23,12:15:56,2,2,3
6,1.73,6.84,12:16:01,12:16:34,2,1,4
7,2.64,18.45,12:16:39,12:17:12,2,3,1
8,1.49,13.31,12:17:17,12:17:50,2,4,2
2,2.0,6.05,12:17:55,12:18:28,2,2,3
5,6.46,5.74,12:18:33,12:19:06,2,1,4
13,1.92,27.64,12:19:11,12:19:44,2,3,1
7,2.42,17.1,12:19:49,12:20:22,2,4,2
4,5.14,9.57,12:20:27,12:21:00,2,2,3
3,5.54,2.35,12:21:05,12:21:38,2,1,4
16,1.61,30.1,12:21:43,12:22:16,2,3,1
9,1.24,13.98,12:22:21,12:22:54,2,4,2
4,3.89,9.7,12:22:59,12:23:32,2,2,3
4,6.08,3.34,12:23:37,12:24:10,2,1,4
3,2.75,9.27,12:24:15,12:24:48,2,3,1
8,2.96,14.49,12:24:53,12:25:26,2,4,2
7,2.65,11.53,12:25:31,12:26:04,2,2,3
6,1.63,5.61,12:26:09,12:26:42,2,1,4
10,2.49,18.98,12:26:47,12:27:20,2,3,1
4,2.03,12.7,12:27:25,12:27:58,2,4,2
6,2.18,20.83,12:28:03,12:28:36,2,2,3
4,2.36,3.57,12:28:41,12:29:14,2,1,4
3,3.0,6.56,12:29:19,12:29:52,2,3,1
6,3.4,10.56,12:29:57,12:30:30,2,4,2
7,2.1,13.23,12:30:35,12:31:08,2,2,3
6,2.52,4.66,12:31:13,12:31:46,2,1,4
7,2.53,15.82,12:31:51,12:32:24,2,3,1
3,1.54,8.34,12:32:29,12:33:02,2,4,2
5,3.1,12.68,12:33:07,12:33:40,2,2,3
8,4.0,9.09,12:33:45,12:34:18,2,1,4
6,2.62,14.34,12:34:23,12:34:56,2,3,1
6,4.63,8.73,12:35:01,12:35:34,2,4,2
6,3.05,10.96,12:35:39,12:36:12,2,2,3
5,2.33,4.7,12:36:17,12:36:50,2,1,4
13,1.47,35.52,12:36:55,12:37:28,2,3,1
8,2.25,11.06,12:37:33,12:38:06,2,4,2
2,22.5,5.92,12:38:11,12:38:44,2,2,3
6,1.77,4.98,12:38:49,12:39:22,2,1,4
6,3.58,18.48,12:39:27,12:40:00,2,3,1
10,1.73,14.98,12:40:05,12:40:38,2,4,2
3,10.08,6.11,12:40:43,12:41:16,2,2,3
9,2.62,5.94,12:41:21,12:41:54,2,1,4
5,2.48,15.04,12:41:59,12:42:32,2,3,1
14,1.63,23.12,12:42:37,12:43:10,2,4,2
2,1.33,6.17,12:43:15,12:43:48,2,2,3
7,3.79,6.66,12:43:53,12:44:26,2,1,4
2,4.33,2.14,12:44:31,12:45:04,2,3,1
12,1.83,24.18,12:45:09,12:45:42,2,4,2
8,2.61,12.2,12:45:47,12:46:20,2,2,3
10,3.21,6.0,12:46:25,12:46:58,2,1,4
7,2.39,13.97,12:47:03,12:47:36,2,3,1
9,1.32,16.19,12:47:41,12:48:14,2,4,2
5,2.6,7.65,12:48:19,12:48:52,2,2,3
5,1.21,6.12,12:48:57,12:49:30,2,1,4
5,6.23,6.84,12:49:35,12:50:08,2,3,1
10,1.9,18.34,12:50:13,12:50:46,2,4,2
7,4.51,12.99,12:50:51,12:51:24,2,2,3
7,2.57,2.55,12:51:29,12:52:02,2,1,4
8,2.4,18.4,12:52:07,12:52:40,2,3,1
6,2.17,12.62,12:52:45,12:53:18,2,4,2
3,2.58,9.46,12:53:23,12:53:56,2,2,3
2,0.92,1.34,12:54:01,12:54:34,2,1,4
5,4.31,7.44,12:54:39,12:55:12,2,3,1
4,1.53,9.61,12:55:17,12:55:50,2,4,2
3,2.83,10.4,12:55:55,12:56:28,2,2,3
4,3.83,2.16,12:56:33,12:57:06,2,1,4
7,4.49,13.61,12:57:11,12:57:44,2,3,1
7,1.81,17.23,12:57:49,12:58:22,2,4,2
3,3.12,8.11,12:58:27,12:59:00,2,2,3
5,0.92,3.66,12:59:05,12:59:38,2,1,4
6,3.17,11.21,12:59:43,13:00:16,2,3,1
1,0.0,3.94,13:00:21,13:00:54,2,4,2
3,1.12,9.37,13:00:59,13:01:32,2,2,3
9,3.25,2.91,13:01:37,13:02:10,2,1,4
5,2.04,7.35,13:02:15,13:02:48,2,3,1
4,6.14,10.12,13:02:53,13:03:26,2,4,2
1,0.0,6.32,13:03:31,13:04:04,2,2,3
1,0.0,0.58,13:04:09,13:04:42,2,1,4
7,3.5,15.27,13:04:47,13:05:20,2,3,1
5,4.0,9.07,13:05:25,13:05:58,2,4,2
5,6.19,9.9,13:06:03,13:06:36,2,2,3
1,0.0,1.29,13:06:41,13:07:14,2,1,4
15,1.95,30.67,13:07:19,13:07:52,2,3,1
