Total_Vehiculos,Tiempo_Medio_s,Ocupacion_Espacial_%,Hora_Inicio,Hora_Fin,Dia_Semana,Direccion,Semaforo_ID
6,1.17,9.47,11:20:35,11:21:08,5,4,2
3,3.54,5.19,11:21:13,11:21:46,5,2,3
5,2.4,9.34,11:21:51,11:22:24,5,1,4
5,3.33,6.91,11:22:29,11:23:02,5,3,1
9,1.7,14.74,11:23:07,11:23:40,5,4,2
5,2.1,10.79,11:23:45,11:24:18,5,2,3
14,1.92,14.38,11:24:23,11:24:56,5,1,4
3,5.96,2.89,11:25:01,11:25:34,5,3,1
10,1.63,14.38,11:25:39,11:26:12,5,4,2
7,2.65,8.38,11:26:17,11:26:50,5,2,3
7,3.96,7.36,11:26:55,11:27:28,5,1,4
6,3.42,7.7,11:27:33,11:28:06,5,3,1
8,1.67,12.93,11:28:11,11:28:44,5,4,2
1,0.0,5.14,11:28:49,11:29:22,5,2,3
3,2.54,2.4,11:29:27,11:30:00,5,1,4
3,3.83,4.02,11:30:05,11:30:38,5,3,1
6,1.52,9.01,11:30:43,11:31:16,5,4,2
10,1.82,17.48,11:31:21,11:31:54,5,2,3
6,3.18,4.52,11:31:59,11:32:32,5,1,4
5,3.29,9.78,11:32:37,11:33:10,5,3,1
10,1.63,15.25,11:33:15,11:33:48,5,4,2
1,0.0,4.79,11:33:53,11:34:26,5,2,3
6,2.45,7.74,11:34:31,11:35:04,5,1,4
9,2.15,17.28,11:35:09,11:35:42,5,3,1
9,1.95,14.13,11:35:47,11:36:20,5,4,2
6,2.35,10.94,11:36:25,11:36:58,5,2,3
11,1.54,15.11,11:37:03,11:37:36,5,1,4
5,6.12,6.0,11:37:41,11:38:14,5,3,1
10,1.76,12.83,11:38:19,11:38:52,5,4,2
3,9.79,9.83,11:38:57,11:39:30,5,2,3
5,1.77,4.82,11:39:35,11:40:08,5,1,4
10,2.86,16.92,11:40:13,11:40:46,5,3,1
4,2.36,5.93,11:40:51,11:41:24,5,4,2
5,6.88,7.2,11:41:29,11:42:02,5,2,3
10,1.56,10.99,11:42:07,11:42:40,5,1,4
10,1.42,11.61,11:42:45,11:43:18,5,3,1
11,1.75,15.86,11:43:23,11:43:56,5,4,2
4,6.64,6.38,11:44:01,11:44:34,5,2,3
7,2.07,9.65,11:44:39,11:45:12,5,1,4
6,3.23,13.34,11:45:17,11:45:50,5,3,1
5,2.56,9.72,11:45:55,11:46:28,5,4,2
3,5.25,6.36,11:46:33,11:47:06,5,2,3
6,3.1,6.76,11:47:11,11:47:44,5,1,4
6,2.27,12.04,11:47:49,11:48:22,5,3,1
6,3.23,6.13,11:48:27,11:49:00,5,4,2
4,2.08,8.32,11:49:05,11:49:38,5,2,3
7,4.12,7.95,11:49:43,11:50:16,5,1,4
6,2.15,6.91,11:50:21,11:50:54,5,3,1
1,0.0,4.43,11:50:59,11:51:32,5,4,2
1,0.0,6.51,11:51:37,11:52:10,5,2,3
4,3.83,4.38,11:52:15,11:52:48,5,1,4
11,2.55,12.89,11:52:53,11:53:26,5,3,1
2,2.25,6.56,11:53:31,11:54:04,5,4,2
4,3.78,9.81,11:54:09,11:54:42,5,2,3
3,6.17,2.19,11:54:47,11:55:20,5,1,4
7,2.75,12.18,11:55:25,11:55:58,5,3,1
5,1.73,8.97,11:56:03,11:56:36,5,4,2
2,13.83,4.41,11:56:41,11:57:14,5,2,3
10,1.44,7.82,11:57:19,11:57:52,5,1,4
10,2.79,15.77,11:57:57,11:58:30,5,3,1
6,1.13,7.12,11:58:35,11:59:08,5,4,2
5,6.15,12.73,11:59:13,11:59:46,5,2,3
13,1.56,14.48,11:59:51,12:00:24,5,1,4
5,7.31,4.54,12:00:29,12:01:02,5,3,1
8,2.96,12.83,12:01:07,12:01:40,5,4,2
3,1.21,6.85,12:01:45,12:02:18,5,2,3
6,4.98,6.05,12:02:23,12:02:56,5,1,4
5,7.12,4.38,12:03:01,12:03:34,5,3,1
12,2.37,15.18,12:03:39,12:04:12,5,4,2
10,2.47,17.9,12:04:17,12:04:50,5,2,3
3,3.5,4.94,12:04:55,12:05:28,5,1,4
15,1.85,15.53,12:05:33,12:06:06,5,3,1
11,1.71,15.25,12:06:11,12:06:44,5,4,2
4,2.42,11.99,12:06:49,12:07:22,5,2,3
4,4.47,2.77,12:07:27,12:08:00,5,1,4
6,2.25,12.04,12:08:05,12:08:38,5,3,1
5,1.85,4.66,12:08:43,12:09:16,5,4,2
5,5.42,21.12,12:09:21,12:09:54,5,2,3
9,2.03,7.24,12:09:59,12:10:32,5,1,4
6,3.6,13.08,12:10:37,12:11:10,5,3,1
8,1.54,13.0,12:11:15,12:11:48,5,4,2
5,3.19,12.06,12:11:53,12:12:26,5,2,3
2,0.33,1.65,12:12:31,12:13:04,5,1,4
6,3.3,5.9,12:13:09,12:13:42,5,3,1
6,3.17,13.81,12:13:47,12:14:20,5,4,2
7,2.12,16.28,12:14:25,12:14:58,5,2,3
7,3.78,7.41,12:15:03,12:15:36,5,1,4
9,3.27,11.37,12:15:41,12:16:14,5,3,1
10,2.23,12.76,12:16:19,12:16:52,5,4,2
2,20.0,5.72,12:16:57,12:17:30,5,2,3
6,2.07,6.31,12:17:35,12:18:08,5,1,4
10,2.94,14.49,12:18:13,12:18:46,5,3,1
4,1.19,3.22,12:18:51,12:19:24,5,4,2
4,5.83,7.41,12:19:29,12:20:02,5,2,3
6,6.02,5.94,12:20:07,12:20:40,5,1,4
5,2.33,8.6,12:20:45,12:21:18,5,3,1
7,4.15,10.33,12:21:23,12:21:56,5,4,2
5,2.15,10.99,12:22:01,12:22:34,5,2,3
9,2.49,15.03,12:22:39,12:23:12,5,1,4
4,5.94,7.27,12:23:17,12:23:50,5,3,1
11,2.18,13.28,12:23:55,12:24:28,5,4,2
6,2.33,12.2,12:24:33,12:25:06,5,2,3
6,2.0,3.16,12:25:11,12:25:44,5,1,4
8,2.57,11.44,12:25:49,12:26:22,5,3,1
7,1.93,9.67,12:26:27,12:27:00,5,4,2
8,3.04,14.56,12:27:05,12:27:38,5,2,3
6,3.93,12.47,12:27:43,12:28:16,5,1,4
3,3.21,4.03,12:28:21,12:28:54,5,3,1
0,0.0,0.97,12:28:59,12:29:32,5,4,2
0,0.0,2.7,12:29:37,12:30:10,5,2,3
9,3.34,10.99,12:30:15,12:30:48,5,1,4
1,0.0,0.95,12:30:53,12:31:26,5,3,1
9,2.9,9.16,12:31:31,12:32:04,5,4,2
3,0.79,5.24,12:32:09,12:32:42,5,2,3
5,6.67,4.18,12:32:47,12:33:20,5,1,4
5,2.17,4.85,12:33:25,12:33:58,5,3,1
5,1.73,8.35,12:34:03,12:34:36,5,4,2
3,2.5,6.06,12:34:41,12:35:14,5,2,3
8,2.19,7.86,12:35:19,12:35:52,5,1,4
11,2.59,14.13,12:35:57,12:36:30,5,3,1
11,2.11,25.65,12:36:35,12:37:08,5,4,2
3,4.83,10.08,12:37:13,12:37:46,5,2,3
8,1.9,7.49,12:37:51,12:38:24,5,1,4
4,9.92,7.26,12:38:29,12:39:02,5,3,1
9,1.91,17.83,12:39:07,12:39:40,5,4,2
5,4.46,6.34,12:39:45,12:40:18,5,2,3
3,2.08,2.73,12:40:23,12:40:56,5,1,4
3,1.58,2.72,12:41:01,12:41:34,5,3,1
5,2.44,12.76,12:41:39,12:42:12,5,4,2
3,2.04,5.07,12:42:17,12:42:50,5,2,3
9,3.29,6.83,12:42:55,12:43:28,5,1,4
5,3.88,9.37,12:43:33,12:44:06,5,3,1
7,2.0,10.34,12:44:11,12:44:44,5,4,2
7,1.38,10.89,12:44:49,12:45:22,5,2,3
7,2.5,11.5,12:45:27,12:46:00,5,1,4
7,2.47,8.26,12:46:05,12:46:38,5,3,1
8,3.06,12.95,12:46:43,12:47:16,5,4,2
2,3.92,4.12,12:47:21,12:47:54,5,2,3
0,0.0,1.35,12:47:59,12:48:32,5,1,4
2,0.58,5.2,12:48:37,12:49:10,5,3,1
11,1.6,15.2,12:49:15,12:49:48,5,4,2
8,3.83,11.96,12:49:53,12:50:26,5,2,3
2,2.25,0.69,12:50:31,12:51:04,5,1,4
6,4.37,21.68,12:51:09,12:51:42,5,3,1
4,1.47,4.77,12:51:47,12:52:20,5,4,2
